titulo,valor,descricao
ARCANO,4,O número 4 representa estrutura e estabilidade.
SIGNIFICADO,5,Simboliza liberdade e curiosidade.
ALMA,3,Expressa comunicação e alegria de viver.
APARÊNCIA,2,Indica sensibilidade e empatia.
MISSÃO,4,Mostra a necessidade de construir bases sólidas.
DONS/POTENCIAL,8,Reflete poder pessoal e liderança.
APRENDIZADO,4,Ensina a importância da disciplina.
COMPROMISSO,3,Aponta para expressão criativa e comunicação.
DESAFIO - ENTREGA,5,Chama para adaptabilidade e desapego.
ABERTURA,2,Convida à cooperação e harmonia.
LIBERDADE,7,Mostra a busca por sabedoria interior.
SABEDORIA,9,Expressa compaixão e finalização de ciclos.
HERANÇAS,4,Representa fundamentos e tradição.
HARMONIA,4,Aponta para equilíbrio e estabilidade.
VIBRAÇÃO,4,Indica determinação e responsabilidade.